=== METAHEURÍSTICA | SIZE: LARGE | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
-------------------------------------------------------------------------------------
large_30x3_1           | 1192.6     | 50.30      | 1170.0   | 1.93    
large_30x3_2           | 929.0      | 39.62      | 905.0    | 2.65    
large_30x3_3           | 907.2      | 46.48      | 883.0    | 2.74    
large_30x3_4           | 1002.0     | 45.03      | 979.0    | 2.35    
large_30x3_5           | 1106.6     | 49.99      | 1087.0   | 1.80    
large_30x4_1           | 827.0      | 58.53      | 805.0    | 2.73    
large_30x4_2           | 757.4      | 67.65      | 744.0    | 1.80
large_30x4_3           | 851.4      | 61.01      | 831.0    | 2.45
large_30x4_4           | 776.2      | 73.78      | 757.0    | 2.54
large_30x4_5           | 901.2      | 4070.73    | 887.0    | 1.60
large_30x5_1           | 639.0      | 2823.44    | 623.0    | 2.57
large_30x5_2           | 709.6      | 70.62      | 692.0    | 2.54
large_30x5_3           | 651.6      | 83.27      | 638.0    | 2.13
large_30x5_4           | 618.6      | 77.55      | 601.0    | 2.93
large_30x5_5           | 690.2      | 77.32      | 671.0    | 2.86
large_40x3_1           | 1315.2     | 120.92     | 1285.0   | 2.35
large_40x3_2           | 1448.2     | 102.02     | 1415.0   | 2.35
large_40x3_3           | 1473.4     | 87.04      | 1441.0   | 2.25
large_40x3_4           | 1372.2     | 77.13      | 1343.0   | 2.17
large_40x3_5           | 1328.2     | 80.21      | 1300.0   | 2.17
large_40x4_1           | 1098.8     | 1888.38    | 1078.0   | 1.93    
large_40x4_2           | 1141.2     | 136.20     | 1116.0   | 2.26    
large_40x4_3           | 1113.6     | 118.46     | 1087.0   | 2.45    
large_40x4_4           | 1114.0     | 140.44     | 1090.0   | 2.20 
large_40x4_5           | 1203.2     | 114.31     | 1172.0   | 2.66    
large_40x5_1           | 922.4      | 179.25     | 896.0    | 2.95    
large_40x5_2           | 1015.4     | 183.18     | 993.0    | 2.26   
large_40x5_3           | 916.2      | 169.43     | 896.0    | 2.25    
large_40x5_4           | 842.0      | 175.38     | 820.0    | 2.68    
large_40x5_5           | 927.6      | 170.65     | 909.0    | 2.05    
large_50x3_1           | 1601.2     | 199.23     | 1559.0   | 2.71    
large_50x3_2           | 1717.2     | 197.52     | 1678.0   | 2.34    
large_50x3_3           | 1869.0     | 167.48     | 1831.0   | 2.08    
large_50x3_4           | 1778.8     | 162.48     | 1734.0   | 2.58    
large_50x3_5           | 1761.6     | 202.16     | 1721.0   | 2.36    
large_50x4_1           | 1358.0     | 357.71     | 1326.0   | 2.41    
large_50x4_2           | 1424.2     | 304.49     | 1393.0   | 2.24    
large_50x4_3           | 1263.0     | 203.78     | 1229.0   | 2.77    
large_50x4_4           | 1322.2     | 214.31     | 1289.0   | 2.58
large_50x4_5           | 1245.0     | 235.39     | 1212.0   | 2.72
large_50x5_1           | 1064.6     | 9050.91    | 1038.0   | 2.56  
large_50x5_2           | 1104.4     | 440.68     | 1077.0   | 2.54
large_50x5_3           | 1057.2     | 390.81     | 1028.0   | 2.84
large_50x5_2           | 1107.6     | 254.38     | 1077.0   | 2.84    
large_50x5_3           | 1055.6     | 254.93     | 1028.0   | 2.68 
large_50x5_4           | 1120.6     | 498.79     | 1090.0   | 2.81    
large_50x5_5           | 1095.6     | 300.23     | 1067.0   | 2.68    
large_60x3_1           | 2215.6     | 330.48     | 2166.0   | 2.29    
large_60x3_2           | 2116.4     | 248.24     | 2068.0   | 2.34    
large_60x3_3           | 2300.6     | 267.83     | 2247.0   | 2.39    
large_60x3_4           | 2083.8     | 281.05     | 2037.0   | 2.30    
large_60x3_5           | 2277.4     | 391.48     | 2230.0   | 2.13    
large_60x4_1           | 1518.8     | 476.76     | 1480.0   | 2.62    
large_60x4_2           | 1683.2     | 341.17     | 1641.0   | 2.57    
large_60x4_3           | 1718.4     | 416.11     | 1676.0   | 2.53    
large_60x4_4           | 1483.2     | 329.68     | 1441.0   | 2.93    
large_60x4_5           | 1673.2     | 360.33     | 1626.0   | 2.90    
large_60x5_1           | 1209.2     | 442.19     | 1177.0   | 2.74    
large_60x5_2           | 1326.2     | 493.54     | 1291.0   | 2.73    
large_60x5_3           | 1187.4     | 572.33     | 1148.0   | 3.43    
large_60x5_4           | 1344.0     | 422.29     | 1308.0   | 2.75    
large_60x5_5           | 1256.2     | 466.98     | 1222.0   | 2.80    
large_70x3_1           | 2439.8     | 421.20     | 2374.0   | 2.77    
large_70x3_2           | 2571.4     | 447.52     | 2511.0   | 2.41    
large_70x3_3           | 2371.0     | 352.60     | 2310.0   | 2.64    
large_70x3_4           | 2485.0     | 471.67     | 2424.0   | 2.52    
large_70x3_5           | 2627.8     | 464.44     | 2565.0   | 2.45    
large_70x4_1           | 1950.8     | 489.48     | 1903.0   | 2.51    
large_70x4_2           | 1944.8     | 531.26     | 1891.0   | 2.85    
large_70x4_3           | 1756.8     | 587.69     | 1704.0   | 3.10    
large_70x4_4           | 1882.8     | 463.22     | 1829.0   | 2.94    
large_70x4_5           | 1930.6     | 371.33     | 1876.0   | 2.91    
large_70x5_1           | 1535.0     | 540.78     | 1489.0   | 3.09    
large_70x5_2           | 1479.2     | 626.75     | 1434.0   | 3.15    
large_70x5_3           | 1370.0     | 589.03     | 1326.0   | 3.32    
large_70x5_4           | 1535.2     | 793.44     | 1493.0   | 2.83    
large_70x5_5           | 1559.8     | 592.75     | 1515.0   | 2.96    
